strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,1.0786181705521976,1.2350321611749535,1.039391830386029,0.9092925232213582,0.6942544459644323,0.2059077538821803,0.988760344758526,1015,,,,,,,,,8,8,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,1.0526591409852657,1.2653946223046395,1.0889956703118813,0.7326753032328186,0.6456908344733242,0.2716123031955091,1.068949408217255,944,,,,,,,,,16,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,1.0497154589879143,1.2644638497803022,1.090262992752296,0.7228367375003484,0.6450068399452804,0.275759918565379,1.0712022265552252,943,,,,,,,,,16,8,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,1.03231958021576,1.2106024825882216,0.9371973937490712,0.889731230185834,1.1573187414500683,0.2057814321169319,0.9611229327019938,1692,,,,,,,,,2,8,500,4,2.0,,,,0.03,
lorentzian_knn,4h,1.03231958021576,1.2106024825882216,0.9371973937490712,0.889731230185834,1.1573187414500683,0.2057814321169319,0.9611229327019938,1692,,,,,,,,,2,8,500,4,1.0,,,,0.03,
lorentzian_knn,4h,1.03231958021576,1.2106024825882216,0.9371973937490712,0.889731230185834,1.1573187414500683,0.2057814321169319,0.9611229327019938,1692,,,,,,,,,2,8,500,4,0.5,,,,0.03,
lorentzian_knn,4h,1.0087239557355163,1.115679400640918,0.9884538179388134,0.8863868336583501,0.5615595075239398,0.2050994921715733,0.9525531886196196,821,,,,,,,,,16,8,500,8,1.0,,,,0.03,
lorentzian_knn,4h,0.9934021481520694,1.0001554996366833,0.93141329941115,1.0463865282468372,0.4555403556771545,0.1504085162173726,0.7959278126846637,666,,,,,,,,,8,8,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,0.9863963819500114,0.9939214467356616,0.9232989002939632,1.039460443891859,0.4569083447332421,0.1496323137473107,0.7844645301140393,668,,,,,,,,,8,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,0.9824075149723388,1.1900201550961644,0.9578725480853968,0.730125628360846,0.902872777017784,0.2471944273104497,0.943867599629604,1320,,,,,,,,,16,8,500,4,2.0,,,,0.03,
lorentzian_knn,4h,0.9757140959967718,1.2466052093573097,0.9697820686098816,0.6204579722362785,1.1306429548563612,0.2887291448328353,0.9350520442050044,1653,,,,,,,,,4,8,1000,4,1.0,,,,0.03,
lorentzian_knn,4h,0.9689773945320042,1.0677350274786852,0.9480553443483068,0.8582226007867934,0.5581395348837209,0.2016081051074659,0.8951340731408725,816,,,,,,,,,16,8,500,8,2.0,,,,0.03,
